year	category	procedure	county	hospital	address	discharge_count	median_length_in_days	median_charge_per_stay
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	ALAMEDA CO MED CTR - HIGHLAND CAMPUS	1411 EAST 31ST STREET, OAKLAND, 94602	20	7.0	46658
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	ALAMEDA HOSPITAL	2070 CLINTON, ALAMEDA, 94501	13	6.0	79401
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS	2450 ASHBY STREET, BERKELEY, 94705	44	4.5	92802
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE	350 HAWTHORNE AVENUE, OAKLAND, 94609	56	5.0	86840
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND	747 52ND STREET, OAKLAND, 94609	2	46.0	334582
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	EDEN MEDICAL CENTER	20103 LAKE CHABOT ROAD, CASTRO VALLEY, 94546	16	8.0	101431
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	KAISER FND HOSP - FREMONT	39400 PASEO PADRE PARKWAY, FREMONT, 94538	34	5.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	KAISER FND HOSP - HAYWARD/FREMONT	27400 HESPERIAN BOULEVARD, HAYWARD, 94545	41	7.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	KAISER FND HOSP - OAKLAND CAMPUS	280 W. MACARTHUR BOULEVARD, OAKLAND, 94611-5693	66	5.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	SAN LEANDRO HOSPITAL	13855 EAST 14TH STREET, SAN LEANDRO, 94578	11	8.0	120290
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	ST. ROSE HOSPITAL	27200 CALAROGA AVENUE, HAYWARD, 94545	8	9.0	91821
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	VALLEY MEMORIAL HOSPITAL - LIVERMORE	1111 E. STANLEY BOULEVARD, LIVERMORE, 94550	49	5.0	101470
2007	Digestive Procedures	Colectomy Large Intestine (open)	Alameda	WASHINGTON HOSPITAL - FREMONT	2000 MOWRY AVENUE, FREMONT, 94538	38	4.5	69120
2007	Digestive Procedures	Colectomy Large Intestine (open)	Amador	SUTTER AMADOR HOSPITAL	200 MISSION BLVD, JACKSON, 95642	13	7.0	77623
2007	Digestive Procedures	Colectomy Large Intestine (open)	Butte	BIGGS GRIDLEY MEMORIAL HOSPITAL	240 SPRUCE STREET, GRIDLEY, 95948	1	4.0	34879
2007	Digestive Procedures	Colectomy Large Intestine (open)	Butte	ENLOE MEDICAL CENTER- ESPLANADE CAMPUS	1531 ESPLANADE, CHICO, 95926	49	7.0	60510
2007	Digestive Procedures	Colectomy Large Intestine (open)	Butte	FEATHER RIVER HOSPITAL	5974 PENTZ ROAD, PARADISE, 95969	15	6.0	80048
2007	Digestive Procedures	Colectomy Large Intestine (open)	Butte	OROVILLE HOSPITAL	2767 OLIVE HIGHWAY, OROVILLE, 95966	14	5.5	51960
2007	Digestive Procedures	Colectomy Large Intestine (open)	Calaveras	MARK TWAIN ST. JOSEPH'S HOSPITAL	768 MOUNTAIN RANCH ROAD, SAN ANDREAS, 95249	8	6.0	47372
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	CONTRA COSTA REGIONAL MEDICAL CENTER	2500 ALHAMBRA AVENUE, MARTINEZ, 94553	9	7.0	47407
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	DOCTORS MEDICAL CENTER - SAN PABLO	2000 VALE ROAD, SAN PABLO, 94806	24	5.5	69536
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS	2540 EAST STREET, CONCORD, 94520	40	5.0	92556
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS	1601 YGNACIO VALLEY ROAD, WALNUT CREEK, 94598	79	4.0	94284
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	KAISER FND HOSP - RICHMOND CAMPUS	901 NEVIN, RICHMOND, 94804	20	5.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	KAISER FND HOSP - WALNUT CREEK	1425 SOUTH MAIN STREET, WALNUT CREEK, 94596-5300	144	5.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	KAISER FOUND HSP-ANTIOCH	4501 SAND CREEK ROAD, ANTIOCH, 94531	12	4.5	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	SAN RAMON REGIONAL MEDICAL CENTER	6001 NORRIS CANYON ROAD, SAN RAMON, 94583	42	4.0	74382
