Listings,Price,Room Type,Reviews,Location
"Modern, Well-Appointed Room in NYC!",65,Private room,72 reviews,"Bedford-Stuyvesant, Brooklyn"
Option of 2 Full Beds + Roof Deck,58,Private room,84 reviews,"Bushwick, Brooklyn"
Great Comfy Room in NYC!,39,Private room,23 reviews,"Crown Heights, Brooklyn"
Lively loft!,49,Private room,70 reviews,"Williamsburg, Brooklyn"
"BEST DEAL IN BROOKLYN, FULL SIZE BD",45,Private room,52 reviews,"East New York, Brooklyn"
"Huge Brooklyn Loft w/Deck, NYC View",65,Private room,41 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright Box Factory Loft,50,Private room,51 reviews,"Greenpoint, Brooklyn"
#3~Studio Suite-10 mins Manhattan!,99,Entire home/apt,41 reviews,"Clinton Hill, Brooklyn"
Spacious Park Slope brownstone,135,Entire home/apt,8 reviews,"Park Slope, Brooklyn"
Sunny Delight with Free Bikes!,60,Private room,7 reviews,"Clinton Hill, Brooklyn"
Private room. Modern Apartment,60,Private room,69 reviews,"Crown Heights, Brooklyn"
Huge Williamsburg Loft by L train,99,Private room,64 reviews,"Williamsburg, Brooklyn"
Summer Green Quiet Room Park Slope,135,Private room,81 reviews,"Park Slope, Brooklyn"
PrivateRoom in Beautiful Brownstone,50,Private room,8 reviews,"Bedford-Stuyvesant, Brooklyn"
Brooklyn Budget Williamsburg NYC 3,50,Private room,87 reviews,"Williamsburg, Brooklyn"
"Great loft, perfect location",140,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Cozy and spacious - rare for NYC!,68,Private room,31 reviews,"Bedford-Stuyvesant, Brooklyn"
Comfy bed in friendly Homestel #C,33,Shared room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Brooklyn Garden Apartment!,99,Private room,21 reviews,"Boerum Hill, Brooklyn"
XL Fort Greene Garden Apt,109,Private room,17 reviews,"Fort Greene, Brooklyn"
Park Slope-Private Room/Bath/Entry,125,Private room,94 reviews,"Park Slope, Brooklyn"
Private Room/Bathroom in Brooklyn,70,Private room,1 review,"Crown Heights, Brooklyn"
Beautiful Cozy One Bedroom in Dumbo,150,Entire home/apt,7 reviews,"DUMBO, Brooklyn"
Private Room in Williamsburg Loft,115,Private room,50 reviews,"Williamsburg, Brooklyn"
Private Room in 4Bed- Williamsburg,50,Private room,3 reviews,"Williamsburg, Brooklyn"
"Delightful,Private,Brooklyn studio",90,Private room,119 reviews,"Bedford-Stuyvesant, Brooklyn"
Best Bedroom with Private Bathroom,99,Private room,24 reviews,"Williamsburg, Brooklyn"
Private Rm in Beautiful Brownstone,55,Private room,8 reviews,"Bushwick, Brooklyn"
Luxe Private 1BR in Spacious Duplex,65,Private room,9 reviews,"Bushwick, Brooklyn"
Sunny Loft in Brooklyn by River,275,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
4 bedroom apartment,349,Entire home/apt,62 reviews,"Prospect Heights, Brooklyn"
3br in Neo-French Reniassance Home,174,Entire home/apt,20 reviews,"Lefferts Garden, Brooklyn"
"Colorful, quiet, & near the subway!",90,Private room,56 reviews,"Boerum Hill, Brooklyn"
Quirky Duplex - Historic Park Slope,75,Private room,43 reviews,"Park Slope, Brooklyn"
Cozy Williamsburg 20 min Manhattan!,99,Private room,14 reviews,"Williamsburg, Brooklyn"
PrivateRoom in Beautiful Brownstone,50,Private room,8 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Master Suite in Park Slope,115,Private room,99 reviews,"Park Slope, Brooklyn"
Central Wburg Plant-Filled 1BR,200,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
New York City room for rent!,35,Private room,7 reviews,"Bushwick, Brooklyn"
Spacious room in Brooklyn.,75,Private room,14 reviews,"Crown Heights, Brooklyn"
Sunny Room/private bath/ Brownstone,99,Private room,35 reviews,"Park Slope, Brooklyn"
Modern Bedroom in Williamsburg Loft,89,Private room,39 reviews,"Williamsburg, Brooklyn"
3BR/2BA Duplex - 1min to subway!,249,Entire home/apt,12 reviews,"Bedford-Stuyvesant, Brooklyn"
2 story family home in Williamsburg,285,Entire home/apt,159 reviews,"Williamsburg, Brooklyn"
Sunny Private Room in Williamsburg,80,Private room,50 reviews,"Williamsburg, Brooklyn"
Williamsburg Luxury—Steps To Subway,85,Private room,166 reviews,"Williamsburg, Brooklyn"
"Charming, Airy 2 Bedroom Brownstone",110,Entire home/apt,21 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Room Overlooks Garden!,55,Private room,13 reviews,"Greenpoint, Brooklyn"
"Cozy room, overlooking garden",65,Private room,28 reviews,"Bedford-Stuyvesant, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,115,Private room,113 reviews,"Park Slope, Brooklyn"
Mayor's Mansion - Garden Suite,125,Private room,57 reviews,"Fort Greene, Brooklyn"
Bright & Happy Room on L Train,49,Private room,13 reviews,"Bushwick, Brooklyn"
Central Williamsburg Fab Large Room,70,Private room,8 reviews,"Williamsburg, Brooklyn"
Prospect Park. Bikes. Garden.Trendy,65,Private room,16 reviews,"Flatbush, Brooklyn"
"Budget Luxury, w/ Manhattan Views!",89,Private room,50 reviews,"Williamsburg, Brooklyn"
Sunny Loft 15 min. to Union Square,85,Private room,105 reviews,"Williamsburg, Brooklyn"
Comfy bed in friendly Homestel #1,32,Shared room,10 reviews,"Bedford-Stuyvesant, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,110,Entire home/apt,44 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright+Spacious Williamsburg Abode!,99,Entire home/apt,47 reviews,"Williamsburg, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,52 reviews,"Bedford-Stuyvesant, Brooklyn"
Comfy bed in friendly Homestel #D,35,Shared room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Stay in super cool williamsburg! :),85,Private room,5 reviews,"Williamsburg, Brooklyn"
"Whole apt. in Williamsburg, Bklyn",180,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Bedroom with Garden at the Back,70,Private room,122 reviews,"Clinton Hill, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,42 reviews,"Bedford-Stuyvesant, Brooklyn"
