Listings,Price,Room Type,Reviews,Location
FAB BKLYN ROOM&BATH&OWN ENTRANCE,110,Private room,5,"Fort Greene, Brooklyn"
Central Wburg Plant-Filled 1BR,200,Entire home/apt,7,"Williamsburg, Brooklyn"
Best Location: Every Subway Here!,69,Private room,6,"Park Slope, Brooklyn"
Sun-filled room in Boerum Hill,75,Private room,1,"Boerum Hill, Brooklyn"
"Delightful,Private,Brooklyn studio",90,Private room,1,"Bedford-Stuyvesant, Brooklyn"
Beautiful Cozy One Bedroom in Dumbo,150,Entire home/apt,7,"DUMBO, Brooklyn"
Best Private Room in Williamsburg!,99,Private room,2,"Williamsburg, Brooklyn"
Spacious room in Brooklyn.,75,Private room,1,"Crown Heights, Brooklyn"
Best Bedroom with Private Bathroom,99,Private room,2,"Williamsburg, Brooklyn"
STUDIO APT SIZE ROOM /OWN BATHROOM,90,Private room,1,"Bedford-Stuyvesant, Brooklyn"
Bright & Happy Room on L Train,49,Private room,1,"Bushwick, Brooklyn"
3br in Neo-French Reniassance Home,174,Entire home/apt,2,"Lefferts Garden, Brooklyn"
"Cheap, Cheerful AND Super Cozy !!!!",45,Private room,5,"Crown Heights, Brooklyn"
Quiet bedroom near Prospect Park,65,Private room,6,"Crown Heights, Brooklyn"
Sunny & modern  1bd/1ba home,140,Entire home/apt,1,"Clinton Hill, Brooklyn"
Spacious Private Bedroom & Living,99,Private room,1,"Park Slope, Brooklyn"
The Black and White Loft,68,Private room,7,"Williamsburg, Brooklyn"
Spacious Brooklyn private bed/bath,120,Private room,9,"Boerum Hill, Brooklyn"
Spacious 2 BR apartment in Bed-Stuy,149,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
Prospect Park. Bikes. Garden.Trendy,65,Private room,1,"Flatbush, Brooklyn"
Park Slope-Private Room/Bath/Entry,125,Private room,9,"Park Slope, Brooklyn"
Cozy bedroom in BK apt,75,Private room,1,"Prospect Heights, Brooklyn"
MODERN WILLIAMSBURG PENTHOUSE,200,Entire home/apt,O,"Williamsburg, Brooklyn"
Gorgeous studio in Brooklyn Heights,129,Entire home/apt,1,"Brooklyn Heights, Brooklyn"
1 br on Waterfront with Bridge View,170,Entire home/apt,3,"Williamsburg, Brooklyn"
Luxury Modern Loft,201,Entire home/apt,9,"Williamsburg, Brooklyn"
The Library Loft- The Art Room,47,Private room,1,"Williamsburg, Brooklyn"
The Geometric Loft,50,Private room,2,"Williamsburg, Brooklyn"
Spacious & Sunny in Prime Brooklyn,150,Entire home/apt,2,"Clinton Hill, Brooklyn"
Spacious Room in Bushwick!,55,Private room,1,"Bushwick, Queens"
Private BR + BR in modern Brkln apt,128,Private room,1,"Prospect Heights, Brooklyn"
Cozy Williamsburg 20 min Manhattan!,99,Private room,1,"Williamsburg, Brooklyn"
Bright and Quiet 2 BR in Park Slope,160,Entire home/apt,5,"Park Slope, Brooklyn"
Private Master Suite in Park Slope,115,Private room,1,"Park Slope, Brooklyn"
Peaceful Parlor Floor Apartment,120,Entire home/apt,7,"Clinton Hill, Brooklyn"
Best Location Bright Apt- Bedford L,140,Entire home/apt,1,"Williamsburg, Brooklyn"
Garden Apt / Fort Greene Brownstone,235,Entire home/apt,7,"Fort Greene, Brooklyn"
The Institute—Heart of Williamsburg,250,Entire home/apt,1,"Williamsburg, Brooklyn"
Sunny 1BR with Terrace/City Views,169,Entire home/apt,7,"Williamsburg, Brooklyn"
"Williamsburg SkyBox, Manhattan View",89,Private room,9,"Williamsburg, Brooklyn"
PrivateRoom in Beautiful Brownstone,50,Private room,1,"Bedford-Stuyvesant, Brooklyn"
Best Location in Prospect Heights!,110,Entire home/apt,2,"Prospect Heights, Brooklyn"
"The Artsy, Cozy, Bushwick Railroad",50,Private room,1,"Bushwick, Brooklyn"
3BR/2BA Duplex - 1min to subway!,249,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
Beautiful + Sunny Fort Greene 1BR,139,Entire home/apt,3,"Clinton Hill, Brooklyn"
Cozy 1 Bedroom in Brooklyn Heights,165,Entire home/apt,O,"Brooklyn Heights, Brooklyn"
Northside Williamsburg Brooklyn Sm,59,Private room,1,"Williamsburg, Brooklyn"
Bunk in Brooklyn 3,25,Shared room,3,"Crown Heights, Brooklyn"
Minutes to Manhattan. Private Bath!,130,Private room,1,"Clinton Hill, Brooklyn"
Spacious Williamsburg Loft @Bedford,89,Private room,3,"Williamsburg, Brooklyn"
2 rooms; private entrance & bath!,65,Private room,5,"Bushwick, Brooklyn"
XL Fort Greene Garden Apt,109,Private room,1,"Fort Greene, Brooklyn"
DUPLEX Williamsburg near subway,180,Entire home/apt,3,"Williamsburg, Brooklyn"
Brooklyn Garden Apartment!,99,Private room,2,"Boerum Hill, Brooklyn"
Mod Bushwick Escape by the L Train,50,Private room,2,"Bushwick, Brooklyn"
Lovely Bedroom In Designer's Home,98,Private room,2,"Bedford-Stuyvesant, Brooklyn"
Stay in super cool williamsburg! :),85,Private room,5,"Williamsburg, Brooklyn"
Cozy Room in Williamsburg,85,Private room,1,"Williamsburg, Brooklyn"
New York City room for rent!,39,Private room,7,"Bushwick, Brooklyn"
Private brownstone studio Brooklyn,160,Entire home/apt,4,"Park Slope, Brooklyn"
Master Bed Bushwick Vacation NYC,55,Private room,4,"Bushwick, Brooklyn"
"Convenient, Renovated 2 Bedroom",175,Entire home/apt,4,"Carroll Gardens, Brooklyn"
Beautiful room! Heart of Wburg BK!,85,Private room,5,"Williamsburg, Brooklyn"
"Heart of Williamsburg, Best Price!",59,Private room,5,"Williamsburg, Brooklyn"
Lovely Spacious Private Room,85,Private room,2,"Flatbush, Brooklyn"
Large Williamsburg Loft Apartment,200,Entire home/apt,3,"Williamsburg, Brooklyn"
South Slope Private Basement Studio,80,Private room,1,"Park Slope, Brooklyn"
Private room25 min from time square,39,Private room,3,"Bushwick, Brooklyn"
Sunny 1BR with patio near park,185,Entire home/apt,3,"Greenpoint, Brooklyn"
Quirky Duplex - Historic Park Slope,75,Private room,4,"Park Slope, Brooklyn"
Williamsburg Luxury—Steps To Subway,85,Private room,1,"Williamsburg, Brooklyn"
Private Custom Studio w/ Spa Shower,59,Entire home/apt,1,"Lefferts Garden, Brooklyn"
Sunny Room/private bath/ Brownstone,99,Private room,3,"Park Slope, Brooklyn"
Luxe Private 1BR in Spacious Duplex,65,Private room,1,"Bushwick, Brooklyn"
Charming Studio in Greenpoint BK,85,Entire home/apt,3,"Greenpoint, Brooklyn"
Bright bedroom w/private bathroom,90,Private room,1,"Prospect Heights, Brooklyn"
2 Bedroom Modern Duplex Apartment,300,Entire home/apt,1,"Clinton Hill, Brooklyn"
2 story family home in Williamsburg,285,Entire home/apt,1,"Williamsburg, Brooklyn"
"Big WBurg Rm, 5 min from L, Fits 4!",80,Private room,9,"Williamsburg, Brooklyn"
"Colorful, quiet, & near the subway!",90,Private room,5,"Boerum Hill, Brooklyn"
700 SqFt Luxe Loft Floor + Kitchen,115,Private room,3,"Prospect Heights, Brooklyn"
Private entrance/bath in luxury apt,95,Private room,1,"Williamsburg, Brooklyn"
Rm Available in Central Ft Greene,75,Private room,1,"Fort Greene, Brooklyn"
Stunning! Williamsburg Dream Room.,110,Private room,5,"Williamsburg, Brooklyn"
Ditmas Park Carriage House Loft,225,Entire home/apt,1,"Flatbush, Brooklyn"
Charming Garden Room with Queen Bed,58,Private room,1,"Bushwick, Brooklyn"
Beautiful Modern Apt in Brooklyn,195,Entire home/apt,2,"Crown Heights, Brooklyn"
THE Apartment by Prospect Park!,75,Entire home/apt,1,"Lefferts Garden, Brooklyn"
Luminous 2BR in Park Slope NYC,189,Entire home/apt,1,"Park Slope, Brooklyn"
Clean Private Room (in Brooklyn),62,Private room,7,"Greenpoint, Brooklyn"
Prime Williamsburg Loft off Bedford,129,Private room,5,"Williamsburg, Brooklyn"
Modern Bedroom in Williamsburg Loft,89,Private room,4,"Williamsburg, Brooklyn"
"Great Room, Great Hosts, Great Hood",40,Private room,3,"Bushwick, Brooklyn"
Prime Park Slope Quiet BR w Kitchen,100,Entire home/apt,5,"Park Slope, Brooklyn"
Directly Across from Prospect Park!,49,Private room,6,Brooklyn
Large room in two-story Brownstone,75,Private room,2,"Prospect Heights, Brooklyn"
HUGE room/ Williamsburg Waterfront!,109,Private room,6,"Williamsburg, Brooklyn"
4 bedroom apartment,349,Entire home/apt,6,"Prospect Heights, Brooklyn"
Bright  1BR Near 7th Ave F Train!,135,Entire home/apt,2,"Park Slope, Brooklyn"
Cozy Comfy Room nr JMZ Subway,55,Private room,2,"Bedford-Stuyvesant, Brooklyn"
Beautiful Private Room with Bath,65,Private room,5,"Bedford-Stuyvesant, Brooklyn"
The Vernon On Greene,179,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
Lovely Bedrooms in Artist's Home,94,Private room,6,"Clinton Hill, Brooklyn"
Cozy Carroll Gardens Brownstone Apt,175,Entire home/apt,4,"Carroll Gardens, Brooklyn"
Sunny Spacious Williamsburg Apt!,135,Entire home/apt,1,"Williamsburg, Brooklyn"
Cozy Bedroom in Cute BK Apartment!,65,Private room,1,"Bedford-Stuyvesant, Brooklyn"
Park Slope Green Guest House,135,Entire home/apt,2,"Park Slope, Brooklyn"
Specious room in Brooklyn!!,75,Private room,7,"Crown Heights, Brooklyn"
Big BR in W'Burg - pvt terrace/view,99,Private room,3,"Williamsburg, Brooklyn"
Cute Williamsburg Room w/ LOFT BED,69,Private room,1,"Williamsburg, Brooklyn"
Sweet Room in East Williamsburg,75,Private room,2,"Williamsburg, Brooklyn"
"Steps From Art, Shopping & Eats",150,Entire home/apt,1,"Prospect Heights, Brooklyn"
Lovely 1BD in Williamsburg,175,Entire home/apt,3,"Williamsburg, Brooklyn"
Studio in Fort Greene/Clinton Hill,145,Entire home/apt,6,"Clinton Hill, Brooklyn"
Williamsburg 1st stop 3 bedroom,210,Entire home/apt,6,"Williamsburg, Brooklyn"
Lively loft!,49,Private room,7,"Williamsburg, Brooklyn"
SUNNY WILLIAMSBURG ARTIST LOFT,189,Entire home/apt,6,"Williamsburg, Brooklyn"
Brooklyn Apt. with Private Garden,100,Entire home/apt,2,"Clinton Hill, Brooklyn"
Private Rm in Beautiful Brownstone,55,Private room,9,"Bushwick, Brooklyn"
Cobble Hill - room in artist loft,95,Private room,8,"Cobble Hill, Brooklyn"
Bedroom in the heart of Williamburg,105,Private room,1,"Williamsburg, Brooklyn"
Private Room/Bathroom in Brooklyn,75,Private room,1,"Crown Heights, Brooklyn"
Homey Townhouse + PRIVATE Bathroom,120,Private room,1,"Boerum Hill, Brooklyn"
Two Bedrooms with Private Rooftop,225,Entire home/apt,6,"Williamsburg, Brooklyn"
BROOKLYN VICTORIAN STYLE SUITE.....,100,Private room,1,"Fort Greene, Brooklyn"
Stylish 2 BR || Luxury for Less,150,Entire home/apt,O,"Bedford-Stuyvesant, Brooklyn"
Heart of W-burg Quiet 1 Bedroom,120,Entire home/apt,3,"Williamsburg, Brooklyn"
Cozy Private Bedroom,70,Private room,O,"Crown Heights, Brooklyn"
"Charming, Airy 2 Bedroom Brownstone",110,Entire home/apt,2,"Bedford-Stuyvesant, Brooklyn"
"Comfortable, Lovely Room on L Train",49,Private room,1,"Bushwick, Brooklyn"
Romantic loft heart of Brooklyn,120,Entire home/apt,2,"Bedford-Stuyvesant, Brooklyn"
Sunny Loft in Brooklyn by River,275,Entire home/apt,6,"Williamsburg, Brooklyn"
Gorgeous 1 bedroom apartment,130,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
Mayor's Mansion - Garden Suite,125,Private room,5,"Fort Greene, Brooklyn"
Stunning 1500 Sq Ft Designer Loft,225,Entire home/apt,4,"Williamsburg, Brooklyn"
