name,ticker_symbol,sector,city,state,date,open,high,low,close,volume,closing_price
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-03,6.08,6.18,5.52,5.53,368852400,5.53
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-04,5.48,5.76,5.13,5.76,447739900,5.76
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-05,5.71,5.83,5.51,5.77,291175700,5.77
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-07,6.32,6.33,5.88,5.9,285218300,5.9
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-17,6.18,6.28,6.03,6.03,175286700,6.03
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-22,6.24,6.28,6,6.06,384622500,6.06
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-30,6.18,6.32,6.11,6.12,175213100,6.12
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-28,6.51,6.53,6.16,6.16,222006200,6.16
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-14,6.31,6.36,6.12,6.19,203351200,6.19
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-13,6.44,6.44,6.17,6.22,229635600,6.22
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-10,6.14,6.29,6.12,6.28,225038600,6.28
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-06,5.77,6.31,5.65,6.28,335734000,6.28
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-23,6.37,6.44,6.01,6.3,563788800,6.29
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-23,6.09,6.39,6.07,6.31,503148600,6.31
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-29,6.4,6.45,6.15,6.35,223792500,6.35
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-11,6.18,6.47,6.13,6.37,204163800,6.37
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-21,6.95,6.97,6.36,6.38,381953600,6.38
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-19,6.68,6.86,6.37,6.4,318354300,6.4
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-22,7.2,7.22,6.42,6.42,398777800,6.41
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-25,6.65,6.67,6.46,6.46,200670600,6.46
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-21,6.59,6.65,6.38,6.46,252293600,6.46
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-20,6.43,6.48,6.18,6.47,254746300,6.47
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-27,6.84,6.85,6.41,6.48,231433200,6.48
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-08,7.4,7.7,6.31,6.51,682052900,6.5
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-12,6.51,6.74,6.34,6.58,284474500,6.58
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-26,6.58,6.66,6.44,6.59,207818500,6.59
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-26,6.48,6.6,6.31,6.6,228097200,6.6
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-18,6.27,6.79,6.16,6.64,496414600,6.64
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-24,6.59,6.74,6.49,6.72,216743600,6.72
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-10,7.53,7.59,6.74,6.77,493986500,6.76
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-20,7.04,7.06,6.9,6.9,142828700,6.9
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-19,6.8,7.12,6.75,6.97,289217900,6.96
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-09,7.11,7.21,6.96,6.98,255828800,6.98
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-24,6.36,7.05,6.32,6.99,602753000,6.98
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-19,7.06,7.07,6.94,6.99,199254700,6.99
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-06,6.91,7.07,6.8,6.99,283101800,6.99
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-13,7.09,7.18,6.97,7,220657500,7
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-18,7.05,7.09,6.78,7.01,335205500,7
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-14,7.09,7.13,6.92,7.05,212940200,7.05
