name,ticker_symbol,sector,city,state,date,open,high,low,close,volume,closing_price
Apache Corporation,APA,Energy,Houston,Texas,2011-10-28,102,105.23,101.23,104.99,3073600,104.99
Apache Corporation,APA,Energy,Houston,Texas,2011-10-27,100.65,104.06,100.25,102.84,4051800,102.84
Apache Corporation,APA,Energy,Houston,Texas,2011-09-01,103.66,104.72,101.53,101.77,2573400,101.6
Apache Corporation,APA,Energy,Houston,Texas,2011-08-31,103.61,104.92,101.92,103.07,4225900,102.9
Apache Corporation,APA,Energy,Houston,Texas,2011-08-30,102.74,103.47,101.06,102.69,2949600,102.52
Apache Corporation,APA,Energy,Houston,Texas,2011-08-29,101.78,103.32,101.38,103.24,2072400,103.07
Apache Corporation,APA,Energy,Houston,Texas,2011-08-26,97.85,100.87,96.01,100.29,2984300,100.12
Apache Corporation,APA,Energy,Houston,Texas,2011-08-24,99.95,100.73,98.01,100.46,2674400,100.29
Apache Corporation,APA,Energy,Houston,Texas,2011-08-23,96.18,100.29,95.5,100.26,3246100,100.09
Apache Corporation,APA,Energy,Houston,Texas,2011-08-17,105.24,107.31,104.45,104.89,2359300,104.72
Apache Corporation,APA,Energy,Houston,Texas,2011-08-16,105.04,105.78,103.08,104.34,3740900,104.17
Apache Corporation,APA,Energy,Houston,Texas,2011-08-15,104.4,106.26,103.98,105.42,2786600,105.25
Apache Corporation,APA,Energy,Houston,Texas,2011-08-12,104.96,105.38,102.25,103.18,2643500,103.01
Apache Corporation,APA,Energy,Houston,Texas,2011-08-11,99.9,104.77,98.55,103.12,4673700,102.95
Apache Corporation,APA,Energy,Houston,Texas,2011-08-09,100.32,102.83,94.47,102.13,6742100,101.96
Apache Corporation,APA,Energy,Houston,Texas,2011-08-05,110.61,112,101.75,106.7,4859500,106.52
Apache Corporation,APA,Energy,Houston,Texas,2011-08-04,117.1,118.84,108.88,109.18,5390000,109
Apache Corporation,APA,Energy,Houston,Texas,2011-08-03,120.21,120.42,114.95,118.45,4498200,118.25
Apache Corporation,APA,Energy,Houston,Texas,2011-08-02,122.61,124.05,119.96,120.02,2992500,119.82
Apache Corporation,APA,Energy,Houston,Texas,2011-08-01,125.7,125.95,122.63,124.06,2525300,123.85
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-21,121.72,124.5,121.24,124.45,864000,124.45
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-20,121.17,121.69,118.34,120.49,912300,120.49
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-19,120.2,122.4,120.04,120.83,974900,120.83
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-18,117.46,121.05,116.86,120.73,1219600,120.73
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-17,120.31,120.66,116.91,117.22,992200,117.22
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-14,120.83,122.23,119.94,121.83,663100,121.83
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-13,119.43,120.25,117.33,119.13,678100,119.13
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-12,119.32,121.98,118.22,120.11,940800,120.11
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-11,122.07,122.07,117.78,118.5,766600,118.5
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-10,117.95,121.22,117.72,121.1,1159900,121.1
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-07,120.08,120.55,115.74,115.97,1118000,115.97
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-06,114.88,118.95,114.19,118.86,1046600,118.86
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-05,116.67,116.8,110,115.55,1174300,115.55
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-04,109.4,117.41,107.54,116.99,1300000,116.99
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-10-03,114.3,116.69,110.74,110.78,1384800,110.78
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-30,116.84,118.44,114.01,114.05,1034600,114.05
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-29,119.3,119.32,116.61,118.4,793300,118.4
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-28,118.89,120.48,116.71,117.06,1311400,117.06
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-27,120.65,121.52,119.54,120.25,1616200,119.36
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-26,118.4,118.76,116.29,118.53,1080300,117.65
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-23,114.51,117.55,114.27,117.35,1278300,116.48
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-22,115.67,117.62,113.25,115.28,2295900,114.42
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-09-21,125.31,126.76,118.53,118.75,2283800,117.87
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-08-19,127.82,128.73,124.95,125.5,1934600,124.57
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-08-10,122.63,131.68,122.59,125.67,3243400,124.74
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-08-09,118.27,125.71,117.4,125.57,3101200,124.64
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-08-08,119.32,121.01,115.91,116.35,2997700,115.49
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-08-05,125.14,125.14,120.5,121.46,1518200,120.56
AvalonBay Communities, Inc.,AVB,Financials,Arlington,Virginia[1],2011-08-04,126.8,127.86,123.58,123.65,1590900,122.73
Franklin Resources,BEN,Financials,San Mateo,California,2011-10-28,108.6,112.38,107.88,110.92,2749800,110.92
Franklin Resources,BEN,Financials,San Mateo,California,2011-10-27,106.18,110.68,105.29,108.24,4110600,108.24
Franklin Resources,BEN,Financials,San Mateo,California,2011-10-26,104.1,104.1,99.13,100.85,1997400,100.85
Franklin Resources,BEN,Financials,San Mateo,California,2011-10-25,104.36,104.36,100.82,101.04,1699100,101.04
Franklin Resources,BEN,Financials,San Mateo,California,2011-10-24,103.8,106.72,103.37,106.27,1320500,106.27
Franklin Resources,BEN,Financials,San Mateo,California,2011-10-21,101.37,103.59,100.75,103.53,1088300,103.53
