id,heading,body,price,neighborhood,external_url,timestamp,created_at,updated_at
1,OH 2/24 Lovely One Bedroom, High ceilings Original architecture,"
 1 Bedroom/1 Bath
Location:Carroll Gardens
Web Link: http://www.Realtycollective.com
Rent: $2400
Size:1 Bedroom/1 Bath
Available now
$2400/month
Lovely One Bedroom apartment on a full floor of a Brooklyn Brownstone in the heart of Carroll Gardens, located on a quiet block. Subway is two short blocks and a mere few steps away are all the wonderful specialty shops, caf&eacute;s, coffee shops and restaurants that make Carroll Gardens so desirable.
- Entire second floor, floor-through
- Gleaming original hardwood floors
- High ceilngs
- Two decorative fire places
- Full bath
- Loads of charming original architecture
- Real louvered shutters
- Built in storage and a wardrobe
- Freshly painted
- Heat and Hot water included
- Low Fee
- Sorry, no pets
Open House, Tuesday, February 24, 6:30-7:30 pm, by appointment
Agent:Brice
E-mail:brice[at]realtycollective.com
do NOT contact me with unsolicited services or offers
Fee Disclosure:$25 Credit Check, Deposit, Broker Fee
 ",2400,USA-NYM-CAR,http://newyork.craigslist.org/brk/fee/4906153171.html,1424818325,2015-02-25 17:16:55.684790,2015-02-25 17:16:55.684790
2,WOW ADORABLE DUPLEX 3 BEDROOMMODERN LIGHT FIXTURESCHECK IT,"
 HIGH END DUPLEX 3 BEDROOM APARTMENT NEAR THE East Williamsburg -Next to L at Dekalb
AMAZING HIGH END 3 BEDROOM DUPLEX APARTMENT
ONE OF A KIND MODERN KITCHEN WITH STAINLESS STEEL APPLIANCES INCLUDING A DISHWASHER
ENORMOUS BEDROOMS WITH WINDOWS AND CLOSETS
GORGEOUS BACKYARD
HIGH END AND MODERN 1.5 BATHS
BEAUTIFUL HARDWOOD FLOORS
FABULOUS MODERN LIGHT FIXTURES
EXCELLENT LOCATION
CLOSE TO GREAT SUPERMARKETS,BARS,CAFE`S,MARIE HERNANDEZ PARK AND MUCH MORE...
FOR A VIEWING CALL MARK AT
********************&amp;#9827;********************&amp;#9827;********************&amp;#9827;********************&amp;#9827;********************&amp;#9827;********************&amp;#9827;*********************
MARK05FEB2015ADS
 ",3200,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4878544904.html,1424817888,2015-02-25 17:16:55.902939,2015-02-25 17:16:55.902939
3,Beautiful 4BR right on Bedford No Fee,"
 Contact info: Jon Spiegler | MGMT |
 312 Bedford Avenue 312 Bedford Ave Unit 2, Brooklyn, NY 11211 $5,500/mo KEY FEATURES Bedrooms: 4 Beds Bathrooms: 2 Baths Lease Duration: 1 Year (See Details Below) Deposit: $500 Pets Policy: Cats &amp; Dogs OK Laundry: None Property Type: Apartment DESCRIPTION HUGE 4 BR 2 Bath in an unbeatable Southside location, right on Bedford Avenue!
Tons of natural light
Exposed brick
Hardwood floors
New Kitchen Appliances including dishwasher
French doors make the space feel even bigger
Private outdoor area
Built in loft
Minutes to the L or J trains, in the center of the world`s most exciting neighborhood! RENTAL FEATURES Living room Dining room Master bath Range / Oven Refrigerator Dishwasher Stainless steel appliances Freezer Balcony, Deck, or Patio Cable-ready Hardwood floor COMMUNITY FEATURES Vintage building Secured entry LEASE TERMS $50 Credit Check / Application fee PER applicant. Contact info: Jon Spiegler MGMT
 ",5500,USA-NYM-WIU,http://newyork.craigslist.org/brk/abo/4900440704.html,1424818146,2015-02-25 17:16:56.101083,2015-02-25 17:16:56.101083
4,9733;LARGE 1BR w/TERRACE  HARDWOOD  DINING AREA  KING BR  LAUNDRY9733;,"
 LARGE 1BR w/TERRACE * HARDWOOD * DINING AREA * KING BR * LAUNDRY Listing ID #: 138789 Price: $1,750 Property Type: Apartment Bedrooms: 1.0 Bathrooms: 1.0 Pets: Small Dogs Apartment Amenities Eat In Kitchen Hardwood High Ceilings Light Outdoor Space This large 1BR apartment is located on beautiful Shore Road in Bay Ridge, Brooklyn. Enjoy nearby bridge and river views, a wealth of shopping options along Third Avenue, plus the convenience of the nearby R train Apartment Features: High Ceilings * Hardwood Floors * Large Living Room/Dining Room * King Size Bedroom * Excellent Closet Space * Eat-in Kitchen * Full Bath * Terrace * Shared Laundry Room Heat, water and cooking gas included. To schedule a showing at your earliest convenience, call/text Adam at 718.290.7483! &nbsp; Adam Taha Phone: 718-290-7483 Mobile: 718-290-7483 Fax: 646-253-1262 Email: ataha@spiregroupny.com Spire Group Inc. &nbsp; 718-290-7483 &nbsp; 718-290-7483 &nbsp; FAX 646-253-1262 &nbsp; ataha@spiregroupny.com POSTED BY REALTYMX&trade; To view, call or text Adam Taha at 718-290-7483 &nbsp; &nbsp;
 ",1750,USA-NYM-BYR,http://newyork.craigslist.org/brk/fee/4906161404.html,1424818737,2015-02-25 17:16:56.279232,2015-02-25 17:16:56.279232
5,HUGE CROWN HEIGHTS DUPLEX NO FEE,"
 Contact info: Jon Spiegler | MGMT |
 1319 St Johns Pl 1319 Saint Johns Pl #1R, Brooklyn, NY 11213 $3,500/mo KEY FEATURES Year Built: 1903 Bedrooms: 3 Beds Bathrooms: 1.5 Baths Parking: None Lease Duration: 1 Year (See Details Below) Deposit: $500 Pets Policy: Cats &amp; Dogs OK Laundry: Shared Floor: 1 Property Type: Apartment DESCRIPTION Brand new renovation, modern amenities, blocks to the train! RENTAL FEATURES Dining room Family room Basement Recreation room Range / Oven Refrigerator Dishwasher Stainless steel appliances Freezer Heat: forced air Central A/C Cable-ready Hardwood floor COMMUNITY FEATURES Vintage building Secured entry Near transportation On-street parking LEASE TERMS $50 credit check / application fee PER applicant. Please have good credit or guarantor. Contact info: Jon Spiegler MGMT
 ",3500,USA-NYM-BDS,http://newyork.craigslist.org/brk/abo/4900219815.html,1424818185,2015-02-25 17:16:56.426338,2015-02-25 17:16:56.426338
6,9733;LOVELY 1BR w/GREAT LIGHT  HARDWOOD  KING BR  LAUNDRY9733;,"
 LOVELY 1BR w/GREAT LIGHT * HARDWOOD * KING BR * LAUNDRY Listing ID #: 138780 Price: $1,400 Property Type: Apartment Bedrooms: 1.0 Bathrooms: 1.0 Approx. Size: 575 Sq. Ft. This large 1BR apartment is located in a meticulously well-kept, prewar, elevator building in Kensington. Enjoy a wide range of nearby shopping options plus the convenience of the nearby F train. Apartment Features: Great Light * High Ceilings * Hardwood Floors * Large Living Room * King Size Bedroom * Four Closets * Separate Kitchen * Modern Bath * Shared Laundry Room To schedule a showing at your earliest convenience, call/text Adam at 718.290.7483! &nbsp; Adam Taha Phone: 718-290-7483 Mobile: 718-290-7483 Fax: 646-253-1262 Email: ataha@spiregroupny.com Spire Group Inc. &nbsp; 718-290-7483 &nbsp; 718-290-7483 &nbsp; FAX 646-253-1262 &nbsp; ataha@spiregroupny.com POSTED BY REALTYMX&trade; To view, call or text Adam Taha at 718-290-7483 &nbsp; &nbsp;
 ",1400,USA-NYM-BOR,http://newyork.craigslist.org/brk/fee/4906145850.html,1424818081,2015-02-25 17:16:56.634457,2015-02-25 17:16:56.634457
7,Modern 2BR,"
 Contact info: Jon Spiegler | MGMT |
 69 Ten Eyck 69 Ten Eyck St Apt. 2C, Brooklyn, NY 11206 $3,200/mo KEY FEATURES Bedrooms: 2 Beds Bathrooms: 1 Bath Lease Duration: 1 Year (See Details Below) Deposit: $500 Pets Policy: Cats &amp; Dogs OK Laundry: Shared Property Type: Apartment DESCRIPTION Live in the center of Williamsburg! Minutes away from the L G trains! NO FEE, ONE MONTH FREE WITH 18 MONTH LEASE!
Plenty of natural light in this spacious 2BR with a large eat in kitchen, TONS of closet space, luxurious bath, laundry in building.
There&amp;rsquo;s something for everyone here, close to bars, restaurants, venues, galleries, parks, and trains!
This apartment just hit the market and won&amp;rsquo;t last, call or text management to set up a time to view.
Please have good income and credit. Guarantors accepted. RENTAL FEATURES Stainless steel appliances Heat: forced air Cable-ready Hardwood floor COMMUNITY FEATURES New property Secured entry Near transportation LEASE TERMS NO BROKERS FEE. $50 Credit Check / Application Fee PER Applicant. Contact info: Jon Spiegler MGMT
 ",3200,USA-NYM-WIU,http://newyork.craigslist.org/brk/abo/4901804344.html,1424818129,2015-02-25 17:16:56.914657,2015-02-25 17:16:56.914657
8,WOW HIGH END NEW 4BR-2BATHS---HUGE LIVING AREA--SUNNY AREA,"
 BEAUTIFUL NEW 4 BEDROOM APARTMENT CLOSE TO THE ""L"" TRAIN AT WILSON STOP
Nice Kitchen with Appliances
Enormous Living With Abundant Sunlight
4 Spacious Bedrooms with windows and closets
Shiny Hardwood floors Throughout the whole apartment
2 Fully tiled Bathroom.
THIS PLACE IS AN AWESOME DEAL AND WON`T LAST LONG!!!
FOR A VIEWING CALL MARK AT
SCHAEFER WILSON
MARKFEB042015POSTING
 ",2700,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4877714871.html,1424817883,2015-02-25 17:16:57.124812,2015-02-25 17:16:57.124812
9,Sweet Location Off Franklin Ave - Near Prospect Park - Large Bedrooms,"
 To View, Please Call
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Renovated Four Bedroom
Generous Bedrooms With Windows
Eat-In Kitchen With Stainless Steel Appliances
Modern Tiled, Brand New Bathroom
Shiny Hardwood Floors Throughout
Pet Friendly Building
Sweet Location On The Corner Of Franklin Av &amp; Dean St
Moments Only From A,C,S,2,3,4,5 Trains... Very Easy Commute
Steps To Amazing Restaurants, Cafes &amp; Bars
Enjoy Prospect Park, Brooklyn Museum, Library &amp; Botanical Garden
1st Month`s Rent &amp; One Month of Security Only To Move In...
 No Broker`s Fee Or Last Month
To View, Please Call
Landlord Requires Annual Income Of About 40X Monthly Rent And Credit In Good Standing
Guarantors Welcome
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
jwk0oipfd7 U9uH0lsa7h pjub5m SKIt4Pu1k5
 ",3350,USA-NYM-FOT,http://newyork.craigslist.org/brk/abo/4906092000.html,1424815887,2015-02-25 17:16:57.279943,2015-02-25 17:16:57.279943
10,furnished beautiful garden duplex in brownstone 3BR/BA,"
 We are the owners of a beautiful brownstone in Bushwick. We live in the ground floor apartment, a duplex with 3 bathrooms, 3 bedrooms, a backyard, washer/dryer, and a huge kitchen. We plan to travel for the next few years (indefinitely) and so are looking to sublet our apartment. We would treat it as a standard rental agreement, except that all utilities are included for a $300 monthly fee (gas, water, electric, heat, tv, wireless internet, local phone, and alarm system!) The space will be furnished with the basics. Across the street is a park so there is lots of light coming in both sides of the apartment. The neighbors are all very friendly and it is generally a quiet block nearest the J train and the B52 but also a reasonable walk to the L. We would be interested in signing a lease of 1 year. We will require proof of income, $3200 security deposit, and additional pet deposit (pets approved on a case by case basis.) Please no brokers or other solicitations in response to this ad/post. Thanks! Available March 1st.
 ",2900,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4897350870.html,1424816249,2015-02-25 17:16:57.425018,2015-02-25 17:16:57.425018
11,Corner LoftDouble Exposure13 ft Ceiling Floor-to-Ceiling Windows,"
 EAST WILLIAMSBURG L TRAIN JEFFERSON. STOP
Corner Loft with a double exposure
13 ft. Ceiling Floor-to-Ceiling Windows Lots of Sunlight all day
Large living room, ideal for entertaining
Prime E Williamsburg location
Pet Friendly / Elevator Building
CALL OR TEXT ME AT
 L BEDFORD L LORIMER L GRAHAM L GRAND L MONTROSE L MORGAN L JEFFERSON L DEKALB
 ",2700,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4896048169.html,1424817852,2015-02-25 17:16:57.624167,2015-02-25 17:16:57.624167
