id,heading,body,price,neighborhood,external_url,timestamp,created_at,updated_at,bedrooms,bathrooms,sqft,cats,dogs,w_d_in_unit,street_parking
4014,$2000 Down And You Can RTO,"
 Newly updated 2 bed/1 bath bungalow house with alarm system for added security, cute coved porch, lovely vailted cielings and ceiling fans give the living room and the rest of the home a beautiful flow, cute yard, pets OK, $499 Call Andy For More Info
South KCCGFGN
 ",499,,http://kansascity.craigslist.org/apa/4906116757.html,1424816863,2015-03-02 19:08:48.758344,2015-03-02 19:08:48.758344,2,1,,YES,YES,,
4015,Spacious living and an attached garage,"
 Falcon Falls -
 Floorplan details:
 Bedrooms: 3
 Bathrooms: 3
 Sq/Ft: 1600
 Deposit: $200 Security Deposit plus $400 Non Refundable Administrative Fee
 Lease: 12 - 13 months
 See a full walkthrough video and photos: https://www.rentfalconfalls.com/cl/floorplan/3-bed-e
 Falcon Falls is pleased to offer residents the Merlin floor plan; a one a kind, maintenance and carefree living experience in one their luxurious townhomes. These massive three level homes measure in 1,600 square feet with a two stall attached garage. You`ll love the high ceilings throughout the large kitchen and living room, and with dining room this large, nearly any table and chairs with fit nicely! The master bedroom boasts of vault ceilings, large windows, and of course a massive walk-in closet! Enjoy those quite evenings at home on your private deck, overlooking the beautiful rolling hills and green landscape of Falcon Falls.
 Welcome to Falcon Falls, one of the newest carefree rental communities in the Northland! At Falcon Falls Apartments and Homes you will be surrounded with luxury in our spacious and thoughtfully planned single family homes, townhomes, and apartment homes. Our community is the proud recipient of multiple industry awards including Best Management and Best Floor Plan. Be one of the first to enjoy Falcon Falls unique style, dramatic landscaping and the personalized service you deserve. Our neighborhood is carefully situated away from congested streets yet maintains quick access to 169, I-29, I-35 and is within minutes of the Airport as well as downtown Kansas City. Falcon Falls Apartments, Homes and Villas, exceeding expectations in carefree living.
Be sure to inquire our New Single Family Homes opening soon!
Falcon Falls is conveniently located in all 3 of the following school districts:
Park Hill District:
Line Creek Elementary
Plaza Middle School (6th Grade Only)
Congress Middle School
Park Hill High School
North Kansas City School District:
Linden West Elementary (K-5th)
Northgate Middle School (6th-8th)
Oak Park High School
Platte County School District:
Pathfinder Elementary (K-2nd)
Barry School (3rd-8th)
Platte County High School
 Call
for more details.
 E-mail Property Manager: https://www.rentfalconfalls.com/cl/contact
 Professionally Managed by Falcon Falls, LLC. For more information and for a personal showing call
 .
 All information is deemed accurate, but not guaranteed. Equal Housing Opportunity.
 ",1375,,http://kansascity.craigslist.org/apa/4906137573.html,1424817693,2015-03-02 19:08:48.910435,2015-03-02 19:08:48.910435,3,2.5,,,,YES,
4016,Single Family Home in Parkhill School District,"
 Falcon Falls -
 Floorplan details:
 Bedrooms: 3
 Bathrooms: 2
 Sq/Ft: 1412
 Deposit: $1500 ($750 Refundable, $750 Non-Refundable)
 Lease: 12 - 13 months
 See a full walkthrough video and photos: https://www.rentfalconfalls.com/cl/floorplan/ranch-house
 Falcon Falls is pleased to offer residents our ranch-style house floor plan. You`ll love the spacious interior with more than 1,400 sqaure feet plus an unfinished basement. This floor plan also features an open-concept kitchen with brand new appliances. Enjoy those quite evenings overlooking the beautiful rolling hills and green landscape of Falcon Falls.
 Welcome to Falcon Falls, one of the newest carefree rental communities in the Northland! At Falcon Falls Apartments and Homes you will be surrounded with luxury in our spacious and thoughtfully planned single family homes, townhomes, and apartment homes. Our community is the proud recipient of multiple industry awards including Best Management and Best Floor Plan. Be one of the first to enjoy Falcon Falls unique style, dramatic landscaping and the personalized service you deserve. Our neighborhood is carefully situated away from congested streets yet maintains quick access to 169, I-29, I-35 and is within minutes of the Airport as well as downtown Kansas City. Falcon Falls Apartments, Homes and Villas, exceeding expectations in carefree living.
Be sure to inquire our New Single Family Homes opening soon!
Falcon Falls is conveniently located in all 3 of the following school districts:
Park Hill District:
Line Creek Elementary
Plaza Middle School (6th Grade Only)
Congress Middle School
Park Hill High School
North Kansas City School District:
Linden West Elementary (K-5th)
Northgate Middle School (6th-8th)
Oak Park High School
Platte County School District:
Pathfinder Elementary (K-2nd)
Barry School (3rd-8th)
Platte County High School
 Call
for more details.
 E-mail Property Manager: https://www.rentfalconfalls.com/cl/contact
 Professionally Managed by Falcon Falls, LLC. For more information and for a personal showing call
 .
 All information is deemed accurate, but not guaranteed. Equal Housing Opportunity.
 ",1600,,http://kansascity.craigslist.org/apa/4906140696.html,1424817821,2015-03-02 19:08:49.132593,2015-03-02 19:08:49.132593,3,2,,,,,
4017,Large Two Story Two Bedroom Loft With Parking,"
 Loft
15th and Oak, Kansas City, MO
Completely Furnished
2BR/2 BA loft
Indoor Parking
4000 Sq Ft
Simply the best place to live down town. The loft is located across the street from the Sprint Center, on the East side. The building has been completely refinished. Stainless steel appliances with gas stoves, large butcher block counters, a giant sky light. Large Stainless steel bar in front of 8 foot windows. Perfect for entertaining.
The living room is furnished with large brown soft leather couches with an entertainment center which includes a TV and stereo.
The master bedroom has a king sized bed, a large bathroom with a walk in shower and a double vanity. It also has a large walk in closet. The washer and dryer are located in the master bedroom, skillfully hidden, making for ease of use.
Has a office with a separate entrance and bathrom. Perfect for someone to work and live downtown.
Attached indoor parking with a garage opener. Just like living in the suburbs.
Spare bedroom has a queen size bed. Very nice.
Simply one of the best place near the Power and Light district and right across from the Sprint Center. Huge.
Please call
today to schedule a time to view the loft. More pictures are available upon request.
RENTAL FEATURES
- Central Air conditioning - Central heat -
- High/Vaulted ceiling - Walk-in closet - Hardwood floor
- Loft layout - Dishwasher
- Refrigerator - Stove/Oven - Microwave
- Butcher Block counter top - Stainless steel appliances - Laundry area - inside bedroom
15th and Oak at 64108 (google map) (yahoo map)
 ",2900,,http://kansascity.craigslist.org/apa/4906136934.html,1424817668,2015-03-02 19:08:49.308724,2015-03-02 19:08:49.308724,2,2,,,,YES,
4018,1 bedroom - Park University, Patio Storage, Covered Parking,"
 4 Million Dollars in Renovations completed in 2014! New fitness center and clubhouse, renovated pool area including expanded pool deck, shade trellis, fire pit, outdoor kitchen with grills and a smoker, new roofs, siding and paint on every building! Escape from the stresses of daily life in the scenic grounds of Northland Passage. Select from our pet-friendly community`s one, two and three bedroom apartment homes that feature microwaves, oversized garden tubs and showers in select homes, full size washer and dryer units, fireplaces with mantels in select homes, ceramic entry tile and built-in bookshelves and computer desks. Our picturesque community also offers five scenic lakes with paved jogging trails, two swimming pools with sundecks, tennis and basketball courts. Upgraded apartment homes now available. Northland Passage is located close to Kansas City`s major thoroughfares, as well as popular dining and shopping areas. Call or stop by for a tour today!
Northland Passage Apartments
6360 N. London Avenue
Kansas City, MO 64151
(p)
(f)
www.northlandpassage.com
northlandpassage at lincolnapts dot com
Lincoln Property Company
www.lincolnapts.com
 ",678,,http://kansascity.craigslist.org/apa/4870543887.html,1424818072,2015-03-02 19:08:50.686696,2015-03-02 19:08:50.686696,1,1,,YES,YES,YES,
4019,VIDEO TOUR ENJOY PLAZA CONDO LIVING, Patio, Fireplace, Pool 213,"
 Check out the VIDEO TOUR &amp; see MORE PICS of this apartment shot for your convenience. Take a look!
**Follow the below URL for more information:
http://www.leasingkc.com/kc213/
----------------------------
LEASING KC
---------------------------
**Property ID CODE: KC213
Please refer to this code when contacting us about this apartment!
WONDERFUL 2+2 PLAZA CONDO!
COVERED GARAGE PARKING
LARGE PRIVATE PATIO
FANTASTIC LOCATION IN BETWEEN PLAZA &amp; WESTPORT
Nice Carpet
Central Air
Beautiful Living Room Fireplace &amp; Mantle
Lots of Kitchen Storage Space
Very Nice Track Lighting in Kitchen
Breakfast / Serving Bar Off Kitchen
Lower Level
Shimmering Granite Bathroom Counter Tops
Spacious Bedrooms
Water and Trash Included in Rent
Quiet Street
Amenities:
Outdoor Pool
Grill Area
Private Fitness Area
Basement Storage Lockers for Each Tenant
Party Room Consisting of:
Access to Pool
Fire Place
Pool and Ping Pong Tables
Full Kitchen with Bar
Lounge Area
*Sorry -- Not Pets Allowed.
*All Leases Must Be Approved By The HOA Board.
Conveniently Situated Between Plaza and Westport!
Walking Distance to Both Plaza and Westport
VERY Nice, Quiet Neighborhood
Near KU Med, St. Luke`s Hospital, UMKC, &amp; Rockhurst!
Short Commute to Downtown Kansas City
Available to View Daily!
**Follow the below URL for more information:
http://www.leasingkc.com/kc213/
 ",1295,,http://kansascity.craigslist.org/apa/4891667337.html,1424817144,2015-03-02 19:08:53.507705,2015-03-02 19:08:53.507705,2,2,,,,,
4020,VIDEO TOUR 11, Updated Kitchen, Balcony, Covered Parking, Pets OK 335A,"
 LeasingKC.com
----------------------
For more information on this lovely Gladstone, MO apartment community, please go to:
www.LeasingKC.com/kc335
-CONTACT THE PROPERTY from that page!
----------------------
1 BEDROOM + 1 BATHROOM
EXCELLENT GLADSTONE, MO LOCATION!
2 SWIMMING POOLS
NEWLY RENOVATED KITCHENS
PET FRIENDLY
PRIVATE PATIOS &amp; BALCONIES
APARTMENT FEATURES:
Very Spacious
FIREPLACE
Lots of Cabinets
TONS of Closet Space
Separate Dining Room
HUGE Bathroom
Convenient Dishwasher
Breakfast Bar
Neutral Color Scheme
COMMUNITY FEATURES:
Wonderful Resident Services
Terrific On-Site Management
24-Hour Emergency Maintenance
Brand New Tennis Court
Basketball Court
Well-Lit Walkways
Multiple On-Site Laundry Rooms
Additional Storage Space
Lush Landscaping
TWO Awesome Swimming Pools
Open Parking -- Covered Parking Available!
PET POLICY:
65 lb Weight Limit
$200 Pet Deposit Per Pet ($100 Non-Refundable)
$15/Month Per Pet
GREAT GLADSTONE, MO LOCATION!
No KC Earnings Tax!
Near KCI &amp; Zona Rosa
Walk to Shopping &amp; Restaurants
Near First Class Schools
Only 15 Minutes to Downtown Kansas City!
**Manager Shows by Appointment**
 ",639,,http://kansascity.craigslist.org/apa/4901619033.html,1424818583,2015-03-02 19:08:55.452090,2015-03-02 19:08:55.452090,1,1,,YES,YES,,
4021,2 bedroom - Southeast Elementary School, Park University, Walk In Closets,"
 4 Million Dollars in Renovations completed in 2014! New fitness center and clubhouse, renovated pool area including expanded pool deck, shade trellis, fire pit, outdoor kitchen with grills and a smoker, new roofs, siding and paint on every building! Escape from the stresses of daily life in the scenic grounds of Northland Passage. Select from our pet-friendly community`s one, two and three bedroom apartment homes that feature microwaves, oversized garden tubs and showers in select homes, full size washer and dryer units, fireplaces with mantels in select homes, ceramic entry tile and built-in bookshelves and computer desks. Our picturesque community also offers five scenic lakes with paved jogging trails, two swimming pools with sundecks, tennis and basketball courts. Upgraded apartment homes now available. Northland Passage is located close to Kansas City`s major thoroughfares, as well as popular dining and shopping areas. Call or stop by for a tour today!
-W/D Hookups
-Walk In Closets*
-Off-leash Dog Park
-Ice Maker
-Frost Free Refrigerator
-Microwave
-Park University
-Patio/Balcony with Storage
-Oak Park High School
-Park Hill South High School
Northland Passage Apartments
6360 N. London Avenue
Kansas City, MO 64151
(p)
(f)
www.northlandpassage.com
northlandpassage at lincolnapts dot com
Lincoln Property Company
www.lincolnapts.com
 ",795,,http://kansascity.craigslist.org/apa/4870551653.html,1424818372,2015-03-02 19:08:57.987890,2015-03-02 19:08:57.987890,2,2,,YES,YES,YES,
4022,Single Family Home with tons of space in Parkhill School District,"
 Falcon Falls -
 Floorplan details:
 Bedrooms: 3
 Bathrooms: 3
 Sq/Ft: 1656
 Deposit: $1500 ($750 Refundable, $750 Non-Refundable)
 Lease: 12 - 13 months
 See a full walkthrough video and photos: https://www.rentfalconfalls.com/cl/floorplan/reverse-three-bedroom-house
 Falcon Falls is pleased to offer residents our reverse-style ranch house floor plan. You`ll love the spacious interior with nearly 1,700 sqaure feet plus an unfinished basement. This floor plan also features an open-concept kitchen with brand new appliances. Enjoy those quite evenings overlooking the beautiful rolling hills and green landscape of Falcon Falls.
 Welcome to Falcon Falls, one of the newest carefree rental communities in the Northland! At Falcon Falls Apartments and Homes you will be surrounded with luxury in our spacious and thoughtfully planned single family homes, townhomes, and apartment homes. Our community is the proud recipient of multiple industry awards including Best Management and Best Floor Plan. Be one of the first to enjoy Falcon Falls unique style, dramatic landscaping and the personalized service you deserve. Our neighborhood is carefully situated away from congested streets yet maintains quick access to 169, I-29, I-35 and is within minutes of the Airport as well as downtown Kansas City. Falcon Falls Apartments, Homes and Villas, exceeding expectations in carefree living.
Be sure to inquire our New Single Family Homes opening soon!
Falcon Falls is conveniently located in all 3 of the following school districts:
Park Hill District:
Line Creek Elementary
Plaza Middle School (6th Grade Only)
Congress Middle School
Park Hill High School
North Kansas City School District:
Linden West Elementary (K-5th)
Northgate Middle School (6th-8th)
Oak Park High School
Platte County School District:
Pathfinder Elementary (K-2nd)
Barry School (3rd-8th)
Platte County High School
 Call
for more details.
 E-mail Property Manager: https://www.rentfalconfalls.com/cl/contact
 Professionally Managed by Falcon Falls, LLC. For more information and for a personal showing call
 .
 All information is deemed accurate, but not guaranteed. Equal Housing Opportunity.
 ",1900,,http://kansascity.craigslist.org/apa/4906144114.html,1424817963,2015-03-02 19:09:00.022333,2015-03-02 19:09:00.022333,3,3,,,,,
4023,1/2 Last Months rent Cozy 3/1.5 in South KC,"
 This home is located at 6207 E 95th Terrace
This home is a 3 Bedroom 1.5 Bath Home that rents for $900 monthly and $900 deposit. Willing to reduce rent for a multi-year lease.
This home has a nice deck for BBQ`s, has brand new carpet, flooring and paint. It also has a dishwasher
Qualifications are:
2-3 years of successful rental history
Combined income of 3 times the monthly rent
no evictions or judgments within the past 3 years
ONLY 1/2 Deposit down Required!!!!
Call
 ",900,,http://kansascity.craigslist.org/apa/4906166159.html,1424818858,2015-03-02 19:09:00.216472,2015-03-02 19:09:00.216472,3,1.5,,,,,
